Domain,Playbook_Action_ID,Playbook Action,EO_14028_Reference,OMB_M22_09_Pillar,NIST_CSF,Evidence_Template,KPI,ISO_27001_AnnexA
Service Management & Strategy,SMS-01,Publish firm-wide IT service catalog,Sec. 3(c),Governance,ID.BE-1,Catalog page link & approval minutes,Catalog covers >=90 % services,A.12.1.1 Documented operating procedures
Service Management & Strategy,SMS-02,Set SLA targets for top 10 services,Sec. 3(c),Governance,ID.GV-3,Board-approved SLA sheet,>95 % requests meet SLA,A.18.1.1 Information security policy
Service Management & Strategy,SMS-03,Launch weekly service-review huddle,Sec. 7(b),Governance,PR.IP-3,Agenda & attendance log,100 % huddles held per quarter,A.16.1.1 Responsibilities and procedures
Service Management & Strategy,SMS-04,Automate new-user provisioning workflow,Sec. 4(e),Applications & Workloads,PR.AC-1,Workflow screenshot,Provisioning time <=2 hrs,A.9.2.1 User registration and de-registration
Service Management & Strategy,SMS-05,Implement experience-level (XLA) survey,Sec. 2(b),Visibility & Analytics,DE.CM-7,Survey results export,XLA >=4.0 / 5 avg,A.12.4.1 Event logging
Service Management & Strategy,SMS-06,Map services to business value streams,Sec. 3(c),Governance,ID.AM-5,Service-value map doc,100 % critical services mapped,A.6.1.1 Information security roles and responsibilities
Risk & Compliance,RSK-01,Maintain consolidated risk register,Sec. 3(d),Governance,ID.GV-4,Risk log & review minutes,Quarterly review completed,A.6.1.1 Information security roles and responsibilities
Risk & Compliance,RSK-02,Run annual cyber-risk assessment,Sec. 3(d),Visibility & Analytics,ID.RA-1,Assessment report,All high risks mitigated,A.6.1.2 Segregation of duties
Risk & Compliance,RSK-03,Automate policy-attestation tracking,Sec. 4(e),Applications & Workloads,PR.PT-1,Attestation dashboard,>95 % staff attested,A.5.1.1 Policies for information security
Risk & Compliance,RSK-04,Benchmark controls against NIST CSF,Sec. 3(c),Governance,ID.RA-2,Gap-analysis sheet,Roadmap for all gaps,A.18.2.3 Technical compliance review
Risk & Compliance,RSK-05,Establish compliance champion network,Sec. 2(b),Governance,PR.AT-3,Champion roster,1 champion per practice,A.7.2.2 Information security awareness
Risk & Compliance,RSK-06,Enable predictive risk analytics dashboard,Sec. 4(e),Visibility & Analytics,DE.AE-5,Dashboard screenshot,Risk-trend alerts auto-sent,A.12.4.1 Event logging
Cybersecurity,CYB-01,Enable MFA for all privileged accounts,Sec. 3(c),Identity,PR.AC-7,MFA policy & logs,100 % privileged MFA,A.9.2.3 Privileged access rights
Cybersecurity,CYB-02,Deploy endpoint detection & response (EDR),Sec. 4(f),Devices,DE.CM-4,EDR console snapshot,EDR on >=95 % endpoints,A.12.4.1 Event logging
Cybersecurity,CYB-03,Implement quarterly phishing simulations,Sec. 4(e),Visibility & Analytics,PR.AT-1,Simulation report,Click rate <5 %,A.7.2.2 Information security awareness
Cybersecurity,CYB-04,Encrypt data at rest for DMS,Sec. 3(c),Data,PR.DS-1,Encryption config export,100 % DMS volumes encrypted,A.10.1.1 Cryptographic policy
Cybersecurity,CYB-05,Adopt zero-trust network segmentation,Sec. 3(c),Networks,PR.AC-5,Firewall segment diagram,Sensitive apps in separate zones,A.13.1.1 Network controls
Cybersecurity,CYB-06,Centralise log aggregation in SIEM,Sec. 4(e),Visibility & Analytics,DE.CM-1,SIEM ingest dashboard,Log coverage >=90 % systems,A.12.4.3 Administrator and operator logs
Incident & Problem Management,IPM-01,Define incident-severity matrix,Sec. 7(b),Governance,DE.DP-4,Matrix doc approved,Used in 100 % P1 tickets,A.16.1.1 Responsibilities and procedures
Incident & Problem Management,IPM-02,Adopt root-cause analysis template,Sec. 7(b),Visibility & Analytics,RC.CO-3,RCA forms sample,RCA for >=90 % P1 incidents,A.16.1.6 Learning from information security incidents
Incident & Problem Management,IPM-03,Automate incident-response playbook,Sec. 7(b),Applications & Workloads,RS.CO-2,Playbook in SOAR tool,Mean response <15 min,A.16.1.5 Response to information security incidents
